Size,Stock,Quantity,Standard Price,Standard Price Per Piece,Next Day Price,Next Day Price Per Piece,Same Day Price,Same Day Price Per Piece
"4 x 6","14 pt.",100,"30.95","0.3095","73.95","0.7395","138.95","1.3895"
"4 x 6","14 pt.",250,"56.95","0.2278","112.95","0.4518","160.95","0.6438"
"4 x 6","14 pt.",500,"68.95","0.1379","109.95","0.2199","177.95","0.3559"
"4 x 6","14 pt.",1000,"81.00","0.0810","140.00","0.1400","208.00","0.2080"
"4 x 6","14 pt.",2500,"184.00","0.0736","215.00","0.0860","246.00","0.0984"
"4 x 6","14 pt.",5000,"222.00","0.0444","342.00","0.0684","412.00","0.0824"
"5 x 7","14 pt.",100,"68.95","0.6895","98.95","0.9895","188.95","1.8895"
"5 x 7","14 pt.",250,"104.95","0.4198","138.95","0.5558","206.95","0.8278"
"5 x 7","14 pt.",500,"124.95","0.2499","190.95","0.3819","249.95","0.4999"
"5 x 7","14 pt.",1000,"144.00","0.1440","233.00","0.2330","325.00","0.3250"
"5 x 7","14 pt.",2500,"284.00","0.1136","355.00","0.1420","426.00","0.1704"
"5 x 7","14 pt.",5000,"371.00","0.0742","678.00","0.1356","636.00","0.1272"
"6 x 9","14 pt.",100,"93.95","0.9395","161.95","1.6195","229.95","2.2995"
"6 x 9","14 pt.",250,"167.95","0.6718","306.95","1.2278","374.95","1.4998"
"6 x 9","14 pt.",500,"184.95","0.3699","329.95","0.6599","397.95","0.7959"
"6 x 9","14 pt.",1000,"235.00","0.2350","380.00","0.3800","456.00","0.4560"
"6 x 9","14 pt.",2500,"379.00","0.1516","691.00","0.2764","830.00","0.3320"
"6 x 9","14 pt.",5000,"513.00","0.1026","851.00","0.1702","1022.00","0.2044"
